Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,2.06,14,30,7.85,5950,,4580,AISI1020,1,0.96,12,427,8.5,0.81,0.22,single-stage gasguns,,2.2,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,3.07,14,30,7.85,5950,,4580,AISI1020,1,1.51,12,408,8.1,0.41,0.32,single-stage gasguns,,2,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,2.03,14,30,7.85,5950,,4580,AISI1020,1,1.02,12,122,2.6,0.33,0.17,single-stage gasguns,,1.6,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,2.03,14,30,7.85,5950,,4580,AISI1020,1,0.99,12,195,4,0.57,0.18,single-stage gasguns,,1.8,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,2.06,14,30,7.85,5950,,4580,AISI1020,1,1.08,12,260,5.2,0.65,0.19,single-stage gasguns,,2.1,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,1.98,14,30,7.85,5950,,4580,AISI1020,1,0.96,12,340,6.8,0.79,0.19,single-stage gasguns,,2.2,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,2.06,14,30,7.85,5950,,4580,AISI1020,1,0.96,12,427,8.5,0.81,0.22,single-stage gasguns,,2.2,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"The material used in this work is a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel [19], which contains 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe, by weight percentage",,,240,450,95,149,148,72,186,0.3,1973,2.09,14,30,7.85,5950,,4580,AISI1020,1,0.99,12,482,9.6,0.83,0.22,single-stage gasguns,,2.1,,"Li, C., Li, B., Huang, J. Y., Ma, H. H., Zhu, M. H., Zhu, J., & Luo, S. N. (2016). Spall damage of a mild carbon steel: effects of peak stress, strain rate and pulse duration. Materials Science and Engineering: A, 660, 139-147."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.08,25,30,7.85,5950,,4580,AISI1020,1,1.03,28,145±2,3.01±0.04,0.49±0.07,0.16,single-stage gasguns,,1.72±0.04,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.03,25,30,7.85,5950,,4580,AISI1020,1,1.02,28,122±2,2.61±0.04,0.33±0.09,0.17,single-stage gasguns,,1.58±0.02,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.08,25,30,7.85,5950,,4580,AISI1020,1,1.03,28,145±2,3.01±0.04,0.49±0.07,0.16,single-stage gasguns,,1.72±0.02,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.03,25,30,7.85,5950,,4580,AISI1020,1,1.02,28,170±2,3.48±0.05,0.57±0.09,0.17,single-stage gasguns,,1.84±0.05,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.08,25,30,7.85,5950,,4580,AISI1020,1,1.05,28,215±3,4.33±0.05,0.64±0.07,0.17,single-stage gasguns,,2.05±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.06,25,30,7.85,5950,,4580,AISI1020,1,1.08,28,260±3,5.22±0.06,0.65±0.03,0.19,single-stage gasguns,,2.09±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,1.98,25,30,7.85,5950,,4580,AISI1020,1,0.96,28,340±4,6.83±0.07,0.79±0.03,0.19,single-stage gasguns,,2.15±0.02,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.06,25,30,7.85,5950,,4580,AISI1020,1,0.96,28,427±4,8.58±0.07,0.81±0.03,0.22,single-stage gasguns,,2.21±0.04,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.03,25,30,7.85,5950,,4580,AISI1020,1,0.95,28,485±5,9.56±0.09,0.85±0.04,0.22,single-stage gasguns,,2.07±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,1.99,25,30,7.85,5950,,4580,AISI1020,1,1.05,28,534±5,10.56±0.10,0.86±0.03,0.22,single-stage gasguns,,1.90±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.01,25,30,7.85,5950,,4580,AISI1020,1,0.99,28,635±6,12.63±0.04,0.90±0.03,0.22,single-stage gasguns,,2.02±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,0.62,25,30,7.85,5950,,4580,AISI1020,1,0.3,28,197±2,3.86±0.09,3.11±0.05,0.04,single-stage gasguns,,2.02±0.07,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,1.01,25,30,7.85,5950,,4580,AISI1020,1,0.51,28,167±2,3.42±0.04,1±0.07,0.08,single-stage gasguns,,1.85±0.04,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,1.45,25,30,7.85,5950,,4580,AISI1020,1,0.72,28,178±2,3.62±0.03,0.73±0.04,0.11,single-stage gasguns,,1.9±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,2.03,25,30,7.85,5950,,4580,AISI1020,1,1.02,28,170±2,3.48±0.05,0.57±0.09,0.17,single-stage gasguns,,1.84±0.05,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,3.05,25,30,7.85,5950,,4580,AISI1020,1,1.53,28,168±2,3.44±0.03,0.37±0.04,0.25,single-stage gasguns,,1.77±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AISI1020,"here we select a mild carbon steel (Chinese steel Q235) similar to AISI 1020 mild steel for current study, for which the tensile stress history effect can be investigated at low peak stresses. The target mild steel has a composition (weight percentage) of 0.17% C, 1.3% Mn, 0.30% Si, 0.04% S, 0.04% P, and 97.8–98.1% Fe.",,,240,450,95,149,148,72,186,0.3,1973,3.08,25,30,7.85,5950,,4580,AISI1020,1,1.52,28,429±2,8.6±0.04,0.41±0.04,0.32,single-stage gasguns,,1.67±0.03,,"Li, C., Yang, K., Tang, X. C., Lu, L., & Luo, S. N. (2019). Spall strength of a mild carbon steel: Effects of tensile stress history and shock-induced microstructure. Materials Science and Engineering: A, 754, 461-469."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.024,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.62,25.4,0.43,,1.1,,"101 mm bore, single stage gas gun",101,5.42,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.01,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.615,25.4,0.498,,1.1,,"101 mm bore, single stage gas gun",101,5.49,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.009,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.619,25.4,0.566,,1.1,,"101 mm bore, single stage gas gun",101,5.33,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.01,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.623,25.4,0.453,,1.1,,"101 mm bore, single stage gas gun",101,5.4,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.012,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.623,25.4,0.416,,1.1,,"101 mm bore, single stage gas gun",101,5.42,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.012,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.62,25.4,0.504,,1.1,,"101 mm bore, single stage gas gun",101,5.42,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.014,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.618,25.4,0.449,,1.1,,"101 mm bore, single stage gas gun",101,5.47,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.012,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.619,25.4,0.417,,1.1,,"101 mm bore, single stage gas gun",101,5.38,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,3.011,25.4,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,1.619,25.4,0.532,,1.1,,"101 mm bore, single stage gas gun",101,5.36,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,6.2,50.8,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,2.115,96.5,0.393,,0.6,,"101 mm bore, single stage gas gun",101,5.38,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,6.198,50.8,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,2.11,96.5,0.419,,0.6,,"101 mm bore, single stage gas gun",101,5.45,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
AF9628,"The material received was melted using an argon-oxygendecarburization (AOD) furnace and was then further vacuum- arc-remelted (VAR) for cleanliness before being forged into a 101 mm diameter bar and then machined. For the small experiments, the bar was machined to 25.4 mm diameter, and then the 25.4 mm diameter bar was heat treated via normalization at 1010 °C ± 10 °C for 1 h and air cooled, then subcritical anneal at 677 °C ± 10 °C for 4 h and aircooled, followed by austenization at 1010 °C ± 10 °C for 1 h and water quenched to room temperature, and finally tempered at 204 °C ± 10 °C for 4 h and air cooled.",,,1320±12,1728±11,129,49,165,80,208,0.29,,6.203,50.8,72.5,7.77±0.02,5920±60,3217±2,4605,AF9628,1,2.11,96.5,0.506,,0.6,,"101 mm bore, single stage gas gun",101,5.56,,"Neel, C., Gibbons, S., Abrahams, R., & House, J. (2020). Shock and Spall in the Low-alloy Steel AF9628. Journal of Dynamic Behavior of Materials, 6(1), 64-77."
